23:28:22.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 281.07, Altitude: 1482.90, Satellites: 9
23:28:24.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 0.00, Altitude: 1482.90, Satellites: 9
23:28:26.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.06, Angle: 211.88, Altitude: 1483.00, Satellites: 9
23:28:28.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 104.40, Altitude: 1483.00, Satellites: 9
23:28:30.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 202.86, Altitude: 1483.00, Satellites: 9
23:28:32.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.04, Angle: 147.58, Altitude: 1483.00, Satellites: 9
23:28:35.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 133.27, Altitude: 1483.00, Satellites: 9
23:28:38.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 112.41, Altitude: 1483.00, Satellites: 9
23:28:40.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 304.02, Altitude: 1483.00, Satellites: 9
23:28:43.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 206.40, Altitude: 1483.00, Satellites: 9
23:28:44.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 355.47, Altitude: 1483.00, Satellites: 9
23:28:47.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 179.67, Altitude: 1483.00, Satellites: 9
23:28:48.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.04, Angle: 152.62, Altitude: 1483.00, Satellites: 9
23:28:52.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 70.59, Altitude: 1483.00, Satellites: 9
23:28:54.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.06, Angle: 271.13, Altitude: 1483.00, Satellites: 9
23:28:56.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.07, Angle: 131.51, Altitude: 1483.00, Satellites: 9
23:28:59.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.04, Angle: 211.44, Altitude: 1483.00, Satellites: 9
23:29:0.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.03, Angle: 133.99, Altitude: 1483.00, Satellites: 9
23:29:3.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 210.90, Altitude: 1483.00, Satellites: 9
23:29:4.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 327.09, Altitude: 1483.00, Satellites: 9
23:29:8.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 61.44, Altitude: 1483.00, Satellites: 9
23:29:10.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 281.72, Altitude: 1483.00, Satellites: 9
23:29:12.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 38.81, Altitude: 1483.00, Satellites: 9
23:29:14.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 194.25, Altitude: 1483.00, Satellites: 9
23:29:16.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 184.38, Altitude: 1483.00, Satellites: 9
23:29:18.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 203.57, Altitude: 1483.00, Satellites: 9
23:29:20.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 214.09, Altitude: 1483.00, Satellites: 9
23:29:23.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 68.98, Altitude: 1483.00, Satellites: 9
23:29:24.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 4.74, Altitude: 1483.00, Satellites: 9
23:29:28.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 199.35, Altitude: 1483.00, Satellites: 9
23:29:30.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 140.65, Altitude: 1483.00, Satellites: 9
23:29:32.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 12.34, Altitude: 1483.00, Satellites: 9
23:29:35.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 351.33, Altitude: 1483.00, Satellites: 9
23:29:36.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 335.00, Altitude: 1483.00, Satellites: 9
23:29:39.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 63.40, Altitude: 1483.00, Satellites: 9
23:29:40.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 325.26, Altitude: 1483.00, Satellites: 9
23:29:44.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 57.78, Altitude: 1483.00, Satellites: 9
23:29:46.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 222.47, Altitude: 1483.00, Satellites: 9
23:29:48.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 312.23, Altitude: 1483.00, Satellites: 9
23:29:50.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 112.00, Altitude: 1483.10, Satellites: 9
23:29:52.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 77.07, Altitude: 1483.10, Satellites: 9
23:29:55.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 240.34, Altitude: 1483.10, Satellites: 9
23:29:58.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 342.34, Altitude: 1483.10, Satellites: 9
23:30:0.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 29.15, Altitude: 1483.10, Satellites: 9
23:30:2.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 255.66, Altitude: 1483.10, Satellites: 9
23:30:4.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 219.48, Altitude: 1483.10, Satellites: 9
23:30:7.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 218.70, Altitude: 1483.10, Satellites: 9
23:30:8.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 273.05, Altitude: 1483.10, Satellites: 9
23:30:12.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 345.46, Altitude: 1483.10, Satellites: 9
23:30:14.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 56.06, Altitude: 1483.10, Satellites: 9
23:30:16.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 51.12, Altitude: 1483.10, Satellites: 9
23:30:19.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 31.29, Altitude: 1483.10, Satellites: 9
23:30:20.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 70.49, Altitude: 1483.10, Satellites: 9
23:30:23.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 8.72, Altitude: 1483.10, Satellites: 9
23:30:24.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 4.64, Altitude: 1483.10, Satellites: 9
23:30:28.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 272.66, Altitude: 1483.10, Satellites: 9
23:30:30.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 172.86, Altitude: 1483.10, Satellites: 9
23:30:32.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 84.33, Altitude: 1483.10, Satellites: 9
23:30:35.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 75.13, Altitude: 1483.10, Satellites: 9
23:30:36.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.04, Angle: 72.60, Altitude: 1483.10, Satellites: 9
23:30:39.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.03, Angle: 80.37, Altitude: 1483.10, Satellites: 9
23:30:42.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 126.60, Altitude: 1483.10, Satellites: 9
23:30:44.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 81.16, Altitude: 1483.10, Satellites: 9
23:30:46.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 36.70, Altitude: 1483.10, Satellites: 9
