Real time,Event,Pulses,Count rate,Duration of d.a.,Duration of meas.,Dose rate,DR Error,Dose,Dose rate alarm,Dose alarm,Temp alarm,Temp.
Ricks Basement,,,,,,,,,,,,
2024.03.27  16.40.07,Current data values,634,396 cpm,,0:01:36,10.8 µR/h,22.60%,,None,None,None,
2024.03.27  16.38.31,Current data values,735,459 cpm,,0:01:36,12.5 µR/h,22.50%,,None,None,None,
2024.03.27  16.36.55,Current data values,665,416 cpm,,0:01:36,12.8 µR/h,22.50%,,None,None,None,
2024.03.27  16.35.19,Current data values,669,418 cpm,,0:01:36,9.56 µR/h,23.90%,,None,None,None,
2024.03.27  16.33.43,Current data values,675,422 cpm,,0:01:36,9.68 µR/h,25%,,None,None,None,
2024.03.27  16.32.07,Current data values,717,448 cpm,,0:01:36,11 µR/h,23.50%,,None,None,None,
2024.03.27  16.27.19,Current data values,678,424 cpm,,0:01:36,11.2 µR/h,24%,,None,None,None,
2024.03.27  16.25.43,Current data values,652,408 cpm,,0:01:36,10.9 µR/h,22.30%,,None,None,None,
2024.03.27  16.24.07,Current data values,662,414 cpm,,0:01:36,10.6 µR/h,23.30%,,None,None,None,
2024.03.27  16.20.55,Current data values,602,376 cpm,,0:01:36,9.96 µR/h,25.80%,,None,None,None,
2024.03.27  16.19.19,Current data values,624,390 cpm,,0:01:36,10.1 µR/h,27.10%,,None,None,None,
