Real time,Event,Pulses,Count rate,Duration of d.a.,Duration of meas.,Dose rate,DR Error,Dose,Dose rate alarm,Dose alarm,Temp alarm,Temp.,Charge,Comment
2024.04.02  17.11.19,Current device parameters,,,9 d., 7:20:31,,,,2.05 mR,None,None,None,23.4°C,100%
2024.04.02  17.11.01,Current data values,422,396 cpm,,0:01:04,10.5 µR/h,35.70%,,None,None,None,,,
2024.04.02  17.09.41,Current data values,556,348 cpm,,0:01:36,8.7 µR/h,27.10%,,None,None,None,,,
2024.04.02  17.08.19,Current device parameters,,,9 d., 7:17:31,,,,2.05 mR,None,None,None,23.3°C,100%
2024.04.02  17.08.05,Current data values,603,377 cpm,,0:01:36,10.2 µR/h,26.20%,,None,None,None,,,
2024.04.02  17.06.29,Current data values,571,357 cpm,,0:01:36,10 µR/h,25.80%,,None,None,None,,,
2024.04.02  17.04.53,Current data values,396,248 cpm,,0:01:36,8 µR/h,32.60%,,None,None,None,,,
2024.04.02  17.04.19,Current device parameters,,,9 d., 7:13:31,,,,2.05 mR,None,None,None,23.1°C,100%
2024.04.02  17.03.17,Current data values,435,272 cpm,,0:01:36,9.01 µR/h,31.20%,,None,None,None,,,
2024.04.02  17.01.41,Current data values,427,267 cpm,,0:01:36,6.86 µR/h,33.10%,,None,None,None,,,
2024.04.02  17.01.19,Current device parameters,,,9 d., 7:10:31,,,,2.05 mR,None,None,None,23°C,100%
2024.04.02  17.00.05,Current data values,441,276 cpm,,0:01:36,8.1 µR/h,30.90%,,None,None,None,,,
2024.04.02  16.58.29,Current data values,408,255 cpm,,0:01:36,10.3 µR/h,29.10%,,None,None,None,,,
2024.04.02  16.58.19,Current device parameters,,,9 d., 7:07:31,,,,2.05 mR,None,None,None,22.9°C,100%
2024.04.02  16.56.53,Current data values,447,279 cpm,,0:01:36,7.46 µR/h,31%,,None,None,None,,,
2024.04.02  16.55.19,Current device parameters,,,9 d., 7:04:31,,,,2.05 mR,None,None,None,22.8°C,100%
2024.04.02  16.55.17,Current data values,511,319 cpm,,0:01:36,11 µR/h,29.50%,,None,None,None,,,
2024.04.02  16.53.41,Current data values,482,301 cpm,,0:01:36,9.14 µR/h,29.10%,,None,None,None,,,
2024.04.02  16.53.19,Current device parameters,,,9 d., 7:02:31,,,,2.05 mR,None,None,None,22.7°C,100%
2024.04.02  16.52.05,Current data values,446,279 cpm,,0:01:36,5.03 µR/h,32.60%,,None,None,None,,,
2024.04.02  16.51.19,Current device parameters,,,9 d., 7:00:31,,,,2.05 mR,None,None,None,22.6°C,100%
2024.04.02  16.50.29,Current data values,339,212 cpm,,0:01:36,6.11 µR/h,33.10%,,None,None,None,,,
2024.04.02  16.48.53,Current data values,374,234 cpm,,0:01:36,5.54 µR/h,36.40%,,None,None,None,,,
2024.04.02  16.47.17,Current data values,433,271 cpm,,0:01:36,7.87 µR/h,33.30%,,None,None,None,,,
2024.04.02  16.45.41,Current data values,484,302 cpm,,0:01:36,8.66 µR/h,32.50%,,None,None,None,,,
2024.04.02  16.44.19,Current device parameters,,,9 d., 6:53:31,,,,2.05 mR,None,None,None,22.4°C,100%
2024.04.02  16.44.05,Current data values,394,246 cpm,,0:01:36,8.5 µR/h,33.50%,,None,None,None,,,
2024.04.02  16.42.29,Current data values,495,309 cpm,,0:01:36,7.75 µR/h,30.90%,,None,None,None,,,
2024.04.02  16.40.53,Current data values,484,302 cpm,,0:01:36,8.83 µR/h,30.80%,,None,None,None,,,
2024.04.02  16.40.19,Current device parameters,,,9 d., 6:49:31,,,,2.05 mR,None,None,None,22.5°C,100%
2024.04.02  16.39.17,Current data values,496,310 cpm,,0:01:36,7.73 µR/h,31.50%,,None,None,None,,,
2024.04.02  16.37.41,Current data values,504,315 cpm,,0:01:36,7.73 µR/h,30.60%,,None,None,None,,,
2024.04.02  16.36.19,Current device parameters,,,9 d., 6:45:31,,,,2.05 mR,None,None,None,22.7°C,100%
2024.04.02  16.36.05,Current data values,501,313 cpm,,0:01:36,10.5 µR/h,28%,,None,None,None,,,
2024.04.02  16.34.29,Current data values,514,321 cpm,,0:01:36,8.22 µR/h,28.60%,,None,None,None,,,
2024.04.02  16.33.19,Current device parameters,,,9 d., 6:42:31,,,,2.05 mR,None,None,None,22.8°C,100%
2024.04.02  16.32.53,Current data values,481,301 cpm,,0:01:36,8.92 µR/h,30.40%,,None,None,None,,,
2024.04.02  16.31.19,Current device parameters,,,9 d., 6:40:31,,,,2.04 mR,None,None,None,22.9°C,100%
2024.04.02  16.31.17,Current data values,591,369 cpm,,0:01:36,9.1 µR/h,27.60%,,None,None,None,,,
2024.04.02  16.29.41,Current data values,584,365 cpm,,0:01:36,9.65 µR/h,25.30%,,None,None,None,,,
2024.04.02  16.29.19,Current device parameters,,,9 d., 6:38:31,,,,2.04 mR,None,None,None,23°C,100%
2024.04.02  16.28.05,Current data values,851,532 cpm,,0:01:36,13 µR/h,22.10%,,None,None,None,,,
2024.04.02  16.27.19,Current device parameters,,,9 d., 6:36:31,,,,2.04 mR,None,None,None,23.1°C,100%
2024.04.02  16.26.29,Current data values,1039,649 cpm,,0:01:36,14.7 µR/h,19.60%,,None,None,None,,,
2024.04.02  16.25.19,Current device parameters,,,9 d., 6:34:31,,,,2.04 mR,None,None,None,23.3°C,100%
2024.04.02  16.24.53,Current data values,1068,668 cpm,,0:01:36,17.2 µR/h,19.40%,,None,None,None,,,
2024.04.02  16.23.19,Current device parameters,,,9 d., 6:32:31,,,,2.04 mR,None,None,None,23.4°C,100%
2024.04.02  16.23.17,Current data values,1002,626 cpm,,0:01:36,15.5 µR/h,19.70%,,None,None,None,,,
